scope,page,kind,verdict,module,field,text
GLOBAL MODULE,Global Footer,Custom Formulation,"REMOVE  one edit, all 127 pages",Private Label/Modules/Global Footer.module/fields.json,default,""" }, { ""id"" : ""27aeb62b-328e-fc2e-2257-b8821dbba976"", ""name"" : ""footer_menu"", ""label"" : ""Footer Menu"", ""required"" : false, ""locked"" : true, ""occurrence"" : { ""min"" : 0, ""max"" : 3, ""sorting_label_field"" : ""3bd97bef-44ac-45a6-4b68-f47a3c804afa"", ""default"" : 3 }, ""children"" : [ { ""id"
GLOBAL MODULE,Global Footer,manufactur*,REVIEW  neutral noun,Private Label/Modules/Global Footer.module/fields.json,default,"png"", ""alt"" : ""Praxera Logo White"", ""loading"" : ""lazy"", ""width"" : 612, ""height"" : 208, ""max_width"" : 612, ""max_height"" : 208 } }, { ""id"" : ""bc01c9a2-f729-ab93-7730-87f28563dd33"", ""name"" : ""caption"", ""label"" : ""Caption"", ""required"" : false, ""locked"" : true, ""type"" : ""richtext"", ""d"
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_0/module_0,headline,Get to market faster with 50 years of supplement manufacturing expertise.
PAGE COPY,(home),manufactur*,CHANGE  first-person claim,/Private Label - Page - Home - Private Label Supplements/main_content/column_1/module_1,content,"Whether you are launching your first supplement brand or expanding an existing product line, we handle the manufacturing complexity so you focus on your customers and your brand."
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_4/module_4,alt,vitamin-manufacturer-prexera
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_9/module_9,content,"manufacturing, ready in weeks."
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_14/module_14,content,Every product is manufactured in the United States.
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_14/module_14,title,"manufacturing, FDA-registered"
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_14/module_14,content,"Our expert team is with you every step of the way: product selection, design, manufacturing, and ongoing brand support."
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_19/module_19,answer,A private label supplement is a pre-formulated dietary supplement produced by a manufacturer (us) and sold under your brand name.
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_19/module_19,answer,"You don't formulate it, you don't manufacture it, and you don't run quality testing."
PAGE COPY,(home),manufactur*,REVIEW  neutral noun,/Private Label - Page - Home - Private Label Supplements/main_content/column_19/module_19,answer,", you don't need a license to sell dietary supplements, but you must comply with FDA labeling rules (DSHEA), follow good manufacturing practices on your distribution side, and register with FDA if you import or manufacture certain products."
PAGE COPY,(home),manufactur*,CHANGE  first-person claim,/Private Label - Page - Home - Private Label Supplements/main_content/column_19/module_19,answer,We handle the manufacturing-side compliance.
PAGE COPY,about,manufactur*,CHANGE  first-person claim,/Private Label - Page - About Us/main_content/column_1/module_1,content,"Five decades later, we have grown into a 190-plus product catalog manufactured in our FDA-registered, GMP-certified Vermont facility."
PAGE COPY,about,manufactur*,CHANGE  first-person claim,/Private Label - Page - About Us/main_content/column_4/module_4,content,We launched our private label program to extend that same manufacturing standard to a broader audience: entrepreneurs and established brand-builders who want to launch their own supplement lines without compromising on quality.
PAGE COPY,about,manufactur*,REVIEW  neutral noun,/Private Label - Page - About Us/main_content/column_7/module_7,alt,DaVinci Vermont manufacturing facility
PAGE COPY,about,manufactur*,REVIEW  neutral noun,/Private Label - Page - About Us/main_content/column_9/module_9,content,owned manufacturer of nutritional supplements for humans and pets.
PAGE COPY,about,manufactur*,REVIEW  neutral noun,/Private Label - Page - About Us/main_content/column_9/module_9,content,"FoodScience operates multiple manufacturing facilities and product brands serving the integrative medicine, retail, veterinary, and private label channels."
PAGE COPY,about,manufactur*,CHANGE  first-person claim,/Private Label - Page - About Us/main_content/column_9/module_9,content,"The scale of FoodScience LLC gives our Praxera private label clients access to manufacturing infrastructure, ingredient sourcing networks, and quality systems that would be impossible at a smaller scale."
PAGE COPY,aging,Custom Formulation,PROSE  not the footer link,/Private Label - Page - Aging Supplements/main_content/column_12/module_12,answer,"Custom formulation means our R&D team develops new healthy aging formulas to your exact specifications, with full proprietary ownership of the result."
