Page,URL,Pricing found
Home (NEW),https://www.thequantumleap.business/,"$9,500"
How to Set Goals and Blow Up Sales in 2022!,https://www.thequantumleap.business/2022-sales-webinar-how-to-set-goals-blow-up-sales-in-2022,$97
AI Solutions,https://www.thequantumleap.business/ai-solutions,"$1  |  $1,495  |  $1,500  |  $1,995  |  $14,950  |  $3,995  |  $4,995  |  $4.40  |  $50  |  $500K  |  $9,995  |  500/month"
AI Workforce Assessment - Quantum Business So,https://www.thequantumleap.business/ai-workforce-assessment,"$1,000  |  $1K  |  $25,000  |  $25K  |  $5,000  |  $5,000/month  |  $5K  |  $5K/month  |  $75,000  |  $9,500  |  5,000/month"
B2B Sales Training,https://www.thequantumleap.business/b2b-sales-training,"$1,450  |  $119  |  $2,450  |  $595  |  $7,450  |  $9,995"
B2B Sales Bootcamp,https://www.thequantumleap.business/b2bsales,"$1,450  |  $119  |  $2,450  |  $595  |  $7,450  |  $9,995"
Case Studies,https://www.thequantumleap.business/case-studies,$12M  |  $180K  |  $20M
Tech Solutions: ConnectAndSell,https://www.thequantumleap.business/connect-and-sell,"$1,000  |  $1,250  |  $500  |  $550"
ConnectAndSell: The Definitive Guide,https://www.thequantumleap.business/connectandsell-the-definitive-guide,"$15,000  |  $4,000  |  $5,000  |  $8,000"
AEO Health Check - Quantum Business Solutions,https://www.thequantumleap.business/en/aeo-health-check,"$15,000  |  $5,000"
10X Business Bootcamp - Ticket Purchase,https://www.thequantumleap.business/en/en/testing-2-0,$497
Standard HubSpot Onboarding,https://www.thequantumleap.business/en/services/hubspot-onboarding,"$1,125  |  $1,500  |  $1,750  |  $2,250  |  $2,625  |  $3,000  |  $3,500  |  $375  |  $5,250  |  $7,000  |  $750  |  $875  |  25% OFF  |  25% Off  |  25% discount  |  25% off"
Quantum Health Initiative — Payroll Tax Savin,https://www.thequantumleap.business/en/services/quantum-health-initiative,"$2,375  |  $25,000  |  $28,500  |  $300,000  |  $32,000  |  $500  |  $570  |  $640"
GTM Program | 4-Wk Assessment | Quantum Busin,https://www.thequantumleap.business/go-to-market-4-wk-assessment-old,"$10,000/month  |  $4,000/month  |  $7,000/month  |  10,000/month  |  4,000/month  |  7,000/month"
HubSpot Reps: Limited-Time Package,https://www.thequantumleap.business/growth-specialist-packages,"$1,500  |  $2000  |  50% discount"
HubSpot Build,https://www.thequantumleap.business/hubspot-build,"$10,000  |  $20,000  |  149/month"
Tech Services: HubSpot Implementations,https://www.thequantumleap.business/hubspot-implementations,"$10,000  |  $20,000"
HubSpot Services,https://www.thequantumleap.business/hubspot-services,"$10,000  |  $13,500  |  $25,000  |  $270  |  $3,250  |  $300  |  $325  |  $350  |  $6,000  |  $7,500"
