Page,Current title,Proposed title,Current meta description,Proposed meta description,Action / decision needed
/,"Growth Agency | #1 HubSpot, ZoomInfo, & ConnectAndSell Partner ",AI-Powered Revenue Solutions | Quantum Business Solutions,We empower businesses aspiring to boost their sales by 20% or more and amplify their sales velocity by 10 times within 180 days.,"Quantum designs and runs the intelligent revenue engine behind your CRM, automation, and outreach. HubSpot Diamond Partner. The system does the work.","Keep title <60ch, add brand"
/about-us,About Us | The Only Growth Agency Focused on Outcomes | The Quantum Leap,About Quantum Business Solutions | HubSpot Diamond Partner,"Quantum Business Solutions helps businesses maximize revenue through AI, automation, and world-class sales and marketing technology. 500+ businesses transformed.",(keep),Trim title
/ai-workforce-assessment,AI Workforce Assessment | 8-Week Paid Program | Quantum Business Solutions,AI Workforce Assessment — 8-Week Program | Quantum,"Map your team. Quantify the AI investment. Ship three production workflows in 8 weeks. $9,500 paired engagement with Quantum's senior team.",(keep),Trim title
/case-studies,Case Studies — Real Results for Real Businesses | Quantum Business Solutions,Client Case Studies | Quantum Business Solutions,"See how we help companies achieve 25% revenue increases, 10x sales velocity, and $180K in tool savings through AI, HubSpot, and automation.",(keep),Trim title
/command-apps,CommandApps — Custom AI Business Apps | Quantum Business Solutions,Command Apps for HubSpot | Quantum Business Solutions,"Purpose-built AI apps for every business function. Commission, Brand, Client, Doc, and Finance CommandApps reduce manual tasks by 80%.",(keep),Trim title
/en/go-to-market-playbook,Go-to-Market Playbook | Quantum Business Solutions,(keep),"Quantum's complete Go-to-Market reference — flywheel growth model, funnel strategy, ICP & personas, RevEfficiency Model, and the 5 steps to get the wheel spinning. Includes the GTM workbook download.","Free Go-To-Market Playbook: the framework Quantum uses to launch B2B revenue programs — strategy, channels, and a 90-day execution plan.",Trim meta to <160ch
/prospecting-playbook,Office Technology Prospecting Playbook | Quantum Business Solutions,Office Technology Prospecting Playbook | Quantum,"Quantum's complete prospecting playbook for office technology dealers — onboarding, scripts, voicemails, LinkedIn outreach, Cardone objection handling, 11 email templates, and the 365-day follow-up calendar.","Free prospecting playbook for office technology dealers: lists, scripts, cadences, and the outbound math that fills pipeline.",Trim title+meta. DECIDE: 301 /en/prospecting-playbook here?
/en/prospecting-playbook,Office Technology Prospecting Playbook | Quantum Business Solutions,(keep),"Quantum's complete prospecting playbook for the office technology industry — training, scripts, voicemails, LinkedIn series, objection handling, email templates, and a full 365-day follow-up calendar.",(keep),DECIDE: duplicate of /prospecting-playbook — 301 or differentiate
/go-to-market-playbook-free-download,Go to Market Playbook Free Download,Download the Go-To-Market Playbook | Quantum,"Discover proven strategies to accelerate your B2B growth. Download our comprehensive Go-to-Market Playbook for free! Gain insights into lead generation, sales tactics, and more. Empower your business today. Download now!","Get Quantum's Go-To-Market Playbook — the exact framework we use to design, launch, and scale B2B revenue programs.","Add brand, trim meta. Or archive (thin page)"
/hubspot-build,HubSpot Build Out | Growth-Driven Design for HubSpot Build Outs | The Quantum Leap,HubSpot Implementation & Build | Quantum Business,"HubSpot CRM build-outs that automate sales and marketing processes, enhance productivity, and drive measurable growth. Quantum Business Solutions.",(keep),Trim title
/hubspot-implementations,HubSpot Implementations by Partner Agency Quantum Business Solutions,HubSpot Implementation Services | Quantum,"Our unique approach to HubSpot implementations will systemize, automate, and optimize your go-to-market strategy. And we will do it fast. ",(keep),DECIDE: 301 to /hubspot-build? (content consolidated there)
/hubspot-services,"HubSpot Services — Implementation, Optimization & Admin | Quantum Business Solutions",HubSpot Services & Pricing | Quantum Business,"Get real ROI from HubSpot with expert implementation, optimization, and managed admin services. 500+ portals configured. 100% certified team.",(keep),"DECIDE: keep, or archive (overlaps Build/Admin pages)"
/operational-efficiency,Operational Efficiency | Cut Costs & Scale Smarter | The Quantum Leap,Operational Efficiency Solutions | Quantum,"Eliminate busywork across every department. We automate HR, finance, operations, and IT so your team can focus on what actually moves the needle.",(keep),Trim title
/outbound-sales,"Outbound Sales Services | People, Process & Technology | The Quantum Leap",Outbound Sales as a Service | Quantum Business,Scale your outbound pipeline without growing headcount. ConnectAndSell + ZoomInfo + HubSpot powered outbound sales system.,(keep),Trim title
/pricing,Pricing | The Quantum Leap,"Pricing — HubSpot, ZoomInfo & Revenue Services | Quantum","Transparent pricing for HubSpot, ZoomInfo, ConnectAndSell, AI, and RevOps services — published rates with no hidden fees. Quantum Business Solutions.",(keep),Lengthen title with keywords
/privacy-policy,Privacy Policy | Quantum Business Solutions,(keep),The privacy policy of Quantum Business Solutions.,"Quantum Business Solutions privacy policy: how we collect, use, and protect your information across our website and services.",Meta was 49ch
